Feature \ Sample	SRS011061	SRS011134	SRS011239
1|A0A0D7EHN8	0	0	0.000148913
1|A0A0D8IVV5	0	0	0.000155118
1|A0A0D8IZ85	0	0	0
1|A0A0E1PMN0	0	0	0
1|A0A0E2PEY0	0	0	0
1|A0A0E3M8J2	0	0	0
1|A0A0E3UUK7	0	0	0
1|A0A0E4C8M9	0	0	0
1|A0A0E9G7G5	0	0	0
1|A0A0F0F4S7	0	0	0
1|A0A0F2KSZ1	0	0	0
1|A0A0F2TLW2	0	0	0
1|A0A0F3KQE7	0	0	0
1|A0A0F4ICY9	0	0	0
1|A0A0F4QQA5	0	0	0
1|A0A0F4VNU5	0	0	0
1|A0A0F5YI71	0	0	0
1|A0A0G3W8J1	0	0	0
1|A0A0G8G4D9	0	0	0
1|A0A0H2YS31	0	0	0
1|A0A0H3AFT9	0	0	0
1|A0A0H3G3K1	0	0	0
1|A0A0H3IXK6	0	0	0
1|A0A0H5SJA2	0	0	0
1|A0A0I9WHV9	0.0069499	0.0326398	0.0297543
1|A0A0J1DF41	0	0	0
1|A0A0J1DQ70	0	0	0
1|A0A0J1IGK2	0	0	0
1|A0A0J1IVS3	0	0	0
1|A0A0J5R2H9	0	0	0
1|A0A0J5Z9C5	0.00371504	0.00396396	0.000893479
1|A0A0J6DH37	0	0	0
1|A0A0J7HLI5	0	0	0
1|A0A0J8DEG8	0	0	0
1|A0A0K2JCP1	0.0400804	0.00481732	0.0269905
1|A0A0K3BVA9	0	0	0
1|A0A0K6GM11	0.00115374	0.000359055	0.00291352
1|A0A0K8JEG8	0	0	0
1|A0A0K9EVL5	0	0	0
1|A0A0K9GGL3	0	0	0
1|A0A0K9NAF1	0	0.00066066	0
1|A0A0K9NFJ1	0	0	0
1|A0A0L0QSK6	0	0	0
1|A0A0L0WDT1	0	0	0
1|A0A0L6JK13	0	0	0
1|A0A0L6JU93	0	0	0
1|A0A0L6Z5I8	0	0	0
1|A0A0M0SH00	0.0159216	0.0353453	0.0245707
1|A0A0M1JSS3	0	0	0
1|A0A0M2JHN7	0	0	0
1|A0A0M2U7R3	0	0	0
1|A0A0M3TBC4	0	0	0
1|A0A0M6WBS0	0	0.00495495	0.0134022
1|A0A0M8V3N8	0	0	0
1|A0A0M8XWL4	0	0	0
1|A0A0M9X0U1	0	0	0
1|A0A0N0TNH9	0	0	0
1|A0A0N0XNK6	0	0	0
1|A0A0P0F3G2	0	0	0
1|A0A0P7Z549	0	0	0
1|A0A0P8BIE2	0	0	0
1|A0A0P8BW10	0	0	0
1|A0A0Q3W9K8	0	0	0
1|A0A0Q4QB57	0	0	0
1|A0A0Q5J1I3	0	0	0
1|A0A0Q6G6I7	0	0	0
1|A0A0Q7JAP2	0	0	0
1|A0A0Q7MJH9	0	0	0
1|A0A0Q7U945	0	0	0
1|A0A0Q9Y475	0	0	0
1|A0A0R1JWU8	0	0	0
1|A0A0R1M0K9	0	0	0
1|A0A0R1NB31	0	0	0
1|A0A0R1VYA3	0	0	0
1|A0A0R1XHH1	0	0	0
1|A0A0R2CMK8	0	0	0
1|A0A0R2DE90	0	0	0
1|A0A0R2HW12	0	0	0
1|A0A0R2MKV0	0	0	0
1|A0A0R3JY34	0	0.000990991	0
1|A0A0R3KXX8	0	0	0
1|A0A0T2QF06	0	0	0
1|A0A0T7CYN3	0	0	0
1|A0A0T9XPI6	0	0	0
1|A0A0U0ZBS0	0	0	0
1|A0A0U2UYY0	0	0	0
1|A0A0U3MV81	0	0	0
1|A0A0U5HGW3	0	0	0
1|A0A0V7ZVG7	0	0	0
1|A0A0V8QE76	0	0	0
1|A0A0W8EA41	0	0	0
1|A0A0W8JL95	0	0	0
1|A0A0X1TKC9	0	0	0
1|A0A0X1U7X8	0	0	0
1|A0A0X8FC81	0	0	0
1|A0A0X8FJX5	0	0	0
1|A0A0X8H1X4	0	0	0
1|A0A0X8WYD0	0	0	0
1|A0A101FHD2	0	0	0
1|A0A101HB83	0	0	0
1|A0A117MN71	0	0	0
1|A0A133NA57	0	0	0
1|A0A133QCA9	0	0	0
1|A0A133QVT5	0	0	0
1|A0A133YEC5	0	0	0
1|A0A133YZG7	0	0	0
1|A0A133ZDP0	0	0	0
1|A0A133ZS95	0	0	0
