Feature \ Sample	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273
139	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	0	0.00444615
141	0	0	0	0.00208039	0	0	0	0	0	0
142	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	0	0	0	0	0
144	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0
148	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0	0	0
151	0	0	0	0.000707998	0.000208006	0	0	0.000523743	0.00237092	0.00818191
153	0	0.00193006	0.000230278	0.00814996	0	0	0.0202643	0	0.0167345	0
155	0	0	6.03702e-05	3.54611e-05	3.25661e-05	4.79352e-05	0	0	0	0.000450325
156	0	0	0	0	0	0	0	0	0	0
157	0	0	0	0	0	0	0	0	0	0
158	0	0	0	0	0	0	0	0	0	0
159	0	0	0	0	0	0	0	0	0	0
163	0	0	0	0	0	0	0	0	0	0
164	0	0	0	0	0	0	0	0	0	0
165	0	0	0	0	0	0	0	0	0	0
167	0	0	0	0	0	0	0	0	0	0
168	0	0	0	0	0	0	0	0	0	0
169	0	0	0	0.000178319	0.000233769	9.07213e-05	0	0.000101844	3.56355e-05	0.000616614
170	0	0	0	0	0	0	0	0	0	0
171	0	0	0	0	0	0	0	0	0	0
175	0	0	0	0	0	0	0	0	0	0
179	0	0	0	0.00034434	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0	0	0
181	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	0	0	0	0	0	0
183	0	0	0	0	0	0	0	0	0	0
184	0	0	0	0	0	0	0	0	0	0
186	0	0	0	0	0	0	0	0	0	0
187	0	0	0	0	0	0	0	0	0	0
189	0	0	0	0	0	0	0	0	0	0
193	0	0	0	0	0	0	0	5.11836e-05	0.000318569	0.000468313
195	0	0	0	0	0	0	0	0	0	0
196	0	0	0	0	0	0	0	0	0	0
198	0	0	0	0	0	0	0	0	0	0.000226608
199	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0
203	0	0	0	0	0	0	0	0	0	0
204	0	0	0	0	0	0	0	0	0	0
207	0	0	0	0	0	0	0	0	0	0
208	0	0	0	0	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0	0	0
211	0	0	0	0	0	0	0	0	0	0
212	0	0	0	0	0	0	0	0	0	0
213	0	0	0	0	0	0	0	0	0	0
215	0	0	0	0	0	0	0	0	0	0
216	0	0	0	0	0	0	0	0	0.000128419	0
217	0	0	0	0	0	0	0	0	0	0
218	0	0	0	0	0	0	0	0	0	0
220	0	0	0	0	0	0	0	0	0	0
221	0	0	0	0	0	0	0	0	0	0
222	0	0	0	0	0	0	0	0	0	0
225	0	0	0	0	0	0	0	0	0	0
228	0	0	0	0	0	0	0	0	0	0
229	0	0	0	0	0	0	0	0	0	0.000410563
231	0	0	0	0	0	0	0	0	0	0
232	0	0	0	0	0	0	0	0	0	0
233	0	0	0	0	0	0	0	0	0	0
234	0	0	0	0	0	0	0	0	0	0
235	0	0	0	0	0	0	0	0	0	0
241	0	0	0	0	0	0	0	0	0	0
242	0	0	0	0	0	0	0	0	0	0
244	0	0	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	0	0	0	0
247	0	1.87404e-05	0	7.55359e-05	0	0	0	0	0	0
249	0	0	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0	0	0
252	0	0	0	0	0	0	0	0	0	6.76191e-05
253	0	0	0	0	0	0	0	0	0	9.31054e-05
255	0	0	0	0	0	0	0	0	0	0
257	0	0	0	0	0	0	0	0	0	0
258	0	0	0	0	0	0	0	0	0	0
259	0	0	0	0	0.000116985	0	0	0	0	0.000912748
261	0	0	0	0	0	0	0	0	0	0
263	0	0	0	0	0	0	0	0	0	0
264	0	0	0	0	0	0	0	0	0	0
265	0	0	0	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0	0
267	0	0	0	0	0	0	0	0	0	0
268	0	0	0	0	0	0	0.00252306	0	0	0
270	0	0	0	0	0	0	0	0	0	0
271	0	0	0	0	0	0	0	0	0	0
272	0	0	0	0	0	0	0	0	0	0
273	0	0	0	0	0	0	0	3.27339e-05	0	0
274	0	0	0	0	0	0	0	0	0	0
275	0	0	0	0	0	0	0	0	0	0
276	0	0	0	0	0	0	0	0	0	0
279	0	0	0	0	0	0	0	0	0	0
280	0	0	0	0	0	0	0	0	0	0
281	0	0	0	0	0	0	0	0	0	0
282	0	0	0	0	0	0	0	0	0	0
283	0	0	0	0	0	0	0	0	0	0
284	0	0	0	0	0	0	0	0	0	0
286	0	0	0	0	0	0	0	0	0	3.38095e-05
287	0	0	0	0	0	0	0	0	0	0
290	0	0	0	0	0	0	0	0	0	0
291	0	0	0	0	0	0	0	0	0	0
